,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
0,30,0.3,0.1,331,59,1,0.0
1,30,0.3,0.1,391,61,1,0.012529611587524414
2,30,0.3,0.1,1,0,0,0.0
3,30,0.3,0.1,473,59,1,0.021181821823120117
4,30,0.3,0.1,472,59,1,0.028537273406982422
5,30,0.3,0.1,325,59,1,0.008684158325195312
6,30,0.3,0.1,570,0,0,0.02936553955078125
7,30,0.3,0.1,29,0,0,0.000997304916381836
8,30,0.3,0.1,405,59,1,0.04209113121032715
9,30,0.3,0.1,3,0,0,0.0010459423065185547
10,30,0.3,0.1,487,59,1,0.034323692321777344
11,30,0.3,0.1,10,0,0,0.0
12,30,0.3,0.1,525,61,1,0.015727519989013672
13,30,0.3,0.1,506,59,1,0.032318115234375
14,30,0.3,0.1,157,0,0,0.005754232406616211
15,30,0.3,0.1,483,67,1,0.022023677825927734
16,30,0.3,0.1,610,0,0,0.08808636665344238
17,30,0.3,0.1,442,61,1,0.029215097427368164
18,30,0.3,0.1,1,0,0,0.0
19,30,0.3,0.1,606,0,0,0.03134012222290039
20,30,0.3,0.1,3,0,0,0.0
21,30,0.3,0.1,483,59,1,0.025348186492919922
22,30,0.3,0.1,382,59,1,0.01453256607055664
23,30,0.3,0.1,565,61,1,0.07443070411682129
24,30,0.3,0.1,559,0,0,0.026923418045043945
25,30,0.3,0.1,9,0,0,0.0
26,30,0.3,0.1,572,0,0,0.026929616928100586
27,30,0.3,0.1,8,0,0,0.0
28,30,0.3,0.1,1,0,0,0.0
29,30,0.3,0.1,495,59,1,0.025013446807861328
30,30,0.3,0.1,547,0,0,0.02596306800842285
31,30,0.3,0.1,492,61,1,0.021947622299194336
32,30,0.3,0.1,569,61,1,0.04957461357116699
33,30,0.3,0.1,618,0,0,0.03123927116394043
34,30,0.3,0.1,481,59,1,0.04886770248413086
35,30,0.3,0.1,13,0,0,0.0
36,30,0.3,0.1,445,63,1,0.03202962875366211
37,30,0.3,0.1,378,59,1,0.017027616500854492
38,30,0.3,0.1,343,61,1,0.02299356460571289
39,30,0.3,0.1,604,0,0,0.05776667594909668
40,30,0.3,0.1,531,65,1,0.030448436737060547
41,30,0.3,0.1,493,59,1,0.028600454330444336
42,30,0.3,0.1,540,59,1,0.027257204055786133
43,30,0.3,0.1,610,0,0,0.03246283531188965
44,30,0.3,0.1,418,59,1,0.017393827438354492
45,30,0.3,0.1,555,0,0,0.032593488693237305
46,30,0.3,0.1,45,0,0,0.0009996891021728516
47,30,0.3,0.1,556,0,0,0.023689985275268555
48,30,0.3,0.1,4,0,0,0.0
49,30,0.3,0.1,371,59,1,0.01673746109008789
50,30,0.3,0.1,575,0,0,0.01673722267150879
51,30,0.3,0.1,1,0,0,0.001039266586303711
52,30,0.3,0.1,508,59,1,0.05658078193664551
53,30,0.3,0.1,1,0,0,0.0
54,30,0.3,0.1,1,0,0,0.0
55,30,0.3,0.1,58,0,0,0.0
56,30,0.3,0.1,602,0,0,0.05044412612915039
57,30,0.3,0.1,451,59,1,0.016816377639770508
58,30,0.3,0.1,416,59,1,0.016814470291137695
59,30,0.3,0.1,580,0,0,0.034174442291259766
60,30,0.3,0.1,442,61,1,0.016684770584106445
61,30,0.3,0.1,1,0,0,0.0
62,30,0.3,0.1,505,61,1,0.054644107818603516
63,30,0.3,0.1,492,59,1,0.019500732421875
64,30,0.3,0.1,442,59,1,0.03342556953430176
65,30,0.3,0.1,4,0,0,0.0
66,30,0.3,0.1,336,59,1,0.03243613243103027
67,30,0.3,0.1,485,59,1,0.01763749122619629
68,30,0.3,0.1,582,0,0,0.03333258628845215
69,30,0.3,0.1,433,71,1,0.018549680709838867
70,30,0.3,0.1,530,61,1,0.033675193786621094
71,30,0.3,0.1,335,61,1,0.016806364059448242
72,30,0.3,0.1,65,0,0,0.0
73,30,0.3,0.1,471,59,1,0.015621185302734375
74,30,0.3,0.1,594,61,1,0.016649723052978516
75,30,0.3,0.1,626,0,0,0.031242847442626953
76,30,0.3,0.1,396,59,1,0.015622138977050781
77,30,0.3,0.1,609,0,0,0.03354644775390625
78,30,0.3,0.1,455,59,1,0.016645193099975586
79,30,0.3,0.1,1,0,0,0.0
80,30,0.3,0.1,1,0,0,0.0
81,30,0.3,0.1,500,59,1,0.029527664184570312
82,30,0.3,0.1,474,59,1,0.03755450248718262
83,30,0.3,0.1,407,61,1,0.014067888259887695
84,30,0.3,0.1,555,0,0,0.029369115829467773
85,30,0.3,0.1,479,61,1,0.02204155921936035
86,30,0.3,0.1,429,65,1,0.041376352310180664
87,30,0.3,0.1,349,61,1,0.03551197052001953
88,30,0.3,0.1,1,0,0,0.0
89,30,0.3,0.1,12,0,0,0.0
90,30,0.3,0.1,575,0,0,0.04401087760925293
91,30,0.3,0.1,320,59,1,0.02942824363708496
92,30,0.3,0.1,21,0,0,0.0
93,30,0.3,0.1,553,63,1,0.06919145584106445
94,30,0.3,0.1,414,61,1,0.01662135124206543
95,30,0.3,0.1,426,59,1,0.03251147270202637
96,30,0.3,0.1,7,0,0,0.0
97,30,0.3,0.1,365,59,1,0.033675193786621094
98,30,0.3,0.1,350,61,1,0.008421659469604492
99,30,0.3,0.1,490,65,1,0.02753758430480957
100,30,0.3,0.2,609,0,0,0.05756187438964844
101,30,0.3,0.2,38,0,0,0.0
102,30,0.3,0.2,611,0,0,0.08256840705871582
103,30,0.3,0.2,4,0,0,0.0
104,30,0.3,0.2,4,0,0,0.0010306835174560547
105,30,0.3,0.2,1,0,0,0.0
106,30,0.3,0.2,617,0,0,0.043044090270996094
107,30,0.3,0.2,458,59,1,0.015607118606567383
108,30,0.3,0.2,557,0,0,0.03213310241699219
109,30,0.3,0.2,1,0,0,0.0
110,30,0.3,0.2,407,61,1,0.03311514854431152
111,30,0.3,0.2,406,59,1,0.016354084014892578
112,30,0.3,0.2,503,59,1,0.01560521125793457
113,30,0.3,0.2,330,59,1,0.017450809478759766
114,30,0.3,0.2,390,59,1,0.016638994216918945
115,30,0.3,0.2,502,59,1,0.01693892478942871
116,30,0.3,0.2,7,0,0,0.0
117,30,0.3,0.2,441,59,1,0.032265424728393555
118,30,0.3,0.2,1,0,0,0.0
119,30,0.3,0.2,358,61,1,0.03663182258605957
120,30,0.3,0.2,391,59,1,0.014732837677001953
121,30,0.3,0.2,3,0,0,0.0
122,30,0.3,0.2,478,59,1,0.021959304809570312
123,30,0.3,0.2,13,0,0,0.001150369644165039
124,30,0.3,0.2,413,63,1,0.0430910587310791
125,30,0.3,0.2,1,0,0,0.0
126,30,0.3,0.2,498,59,1,0.02317214012145996
127,30,0.3,0.2,391,61,1,0.044100284576416016
128,30,0.3,0.2,555,65,1,0.028196096420288086
129,30,0.3,0.2,1,0,0,0.005271434783935547
130,30,0.3,0.2,536,63,1,0.06625604629516602
131,30,0.3,0.2,71,0,0,0.005433320999145508
132,30,0.3,0.2,427,61,1,0.01468205451965332
133,30,0.3,0.2,523,63,1,0.02543020248413086
134,30,0.3,0.2,17,0,0,0.0009968280792236328
135,30,0.3,0.2,1,0,0,0.0
136,30,0.3,0.2,33,0,0,0.0009613037109375
137,30,0.3,0.2,44,0,0,0.0
138,30,0.3,0.2,13,0,0,0.0011343955993652344
139,30,0.3,0.2,542,59,1,0.06751585006713867
140,30,0.3,0.2,398,59,1,0.016905546188354492
141,30,0.3,0.2,633,0,0,0.03261065483093262
142,30,0.3,0.2,621,0,0,0.032128334045410156
143,30,0.3,0.2,396,63,1,0.035520315170288086
144,30,0.3,0.2,426,63,1,0.015865802764892578
145,30,0.3,0.2,532,63,1,0.01663684844970703
146,30,0.3,0.2,491,59,1,0.01660752296447754
147,30,0.3,0.2,4,0,0,0.0010378360748291016
148,30,0.3,0.2,1,0,0,0.0
149,30,0.3,0.2,627,0,0,0.04719972610473633
150,30,0.3,0.2,603,0,0,0.05098724365234375
151,30,0.3,0.2,501,59,1,0.022397279739379883
152,30,0.3,0.2,311,73,1,0.01775979995727539
153,30,0.3,0.2,15,0,0,0.0
154,30,0.3,0.2,3,0,0,0.0
155,30,0.3,0.2,401,59,1,0.05041670799255371
156,30,0.3,0.2,1,0,0,0.0
157,30,0.3,0.2,10,0,0,0.0
158,30,0.3,0.2,451,61,1,0.032863616943359375
159,30,0.3,0.2,483,59,1,0.03150629997253418
160,30,0.3,0.2,549,59,1,0.03430318832397461
161,30,0.3,0.2,459,59,1,0.029256105422973633
162,30,0.3,0.2,536,59,1,0.027098655700683594
163,30,0.3,0.2,480,65,1,0.028266429901123047
164,30,0.3,0.2,396,63,1,0.02214217185974121
165,30,0.3,0.2,6,0,0,0.0
166,30,0.3,0.2,460,59,1,0.05151820182800293
167,30,0.3,0.2,586,0,0,0.033293962478637695
168,30,0.3,0.2,475,59,1,0.017168521881103516
169,30,0.3,0.2,439,63,1,0.01662421226501465
170,30,0.3,0.2,619,0,0,0.05451202392578125
171,30,0.3,0.2,522,63,1,0.04901695251464844
172,30,0.3,0.2,426,59,1,0.016694307327270508
173,30,0.3,0.2,436,69,1,0.018439531326293945
174,30,0.3,0.2,608,0,0,0.030393600463867188
175,30,0.3,0.2,393,59,1,0.03562116622924805
176,30,0.3,0.2,586,67,1,0.030217647552490234
177,30,0.3,0.2,591,0,0,0.029430866241455078
178,30,0.3,0.2,1,0,0,0.0
179,30,0.3,0.2,483,67,1,0.022188425064086914
180,30,0.3,0.2,561,59,1,0.029599905014038086
181,30,0.3,0.2,525,63,1,0.02835536003112793
182,30,0.3,0.2,543,0,0,0.029439926147460938
183,30,0.3,0.2,475,59,1,0.022916078567504883
184,30,0.3,0.2,1,0,0,0.0010530948638916016
185,30,0.3,0.2,3,0,0,0.0
186,30,0.3,0.2,627,0,0,0.035546064376831055
187,30,0.3,0.2,349,59,1,0.015825748443603516
188,30,0.3,0.2,8,0,0,0.0
189,30,0.3,0.2,410,59,1,0.021954774856567383
190,30,0.3,0.2,479,63,1,0.022011518478393555
191,30,0.3,0.2,463,59,1,0.02064037322998047
192,30,0.3,0.2,515,59,1,0.029290199279785156
193,30,0.3,0.2,11,0,0,0.005285501480102539
194,30,0.3,0.2,522,59,1,0.04396486282348633
195,30,0.3,0.2,374,59,1,0.014722585678100586
196,30,0.3,0.2,509,59,1,0.03520083427429199
197,30,0.3,0.2,348,59,1,0.014065265655517578
198,30,0.3,0.2,487,61,1,0.03350019454956055
199,30,0.3,0.2,447,59,1,0.048946380615234375
200,30,0.3,0.3,1,0,0,0.0
201,30,0.3,0.3,547,63,1,0.03240084648132324
202,30,0.3,0.3,1,0,0,0.0
203,30,0.3,0.3,6,0,0,0.0
204,30,0.3,0.3,487,65,1,0.05000185966491699
205,30,0.3,0.3,489,0,0,0.03218412399291992
206,30,0.3,0.3,480,59,1,0.03327798843383789
207,30,0.3,0.3,468,59,1,0.021994829177856445
208,30,0.3,0.3,560,0,0,0.028857946395874023
209,30,0.3,0.3,465,61,1,0.018880128860473633
210,30,0.3,0.3,440,59,1,0.03382134437561035
211,30,0.3,0.3,424,65,1,0.01738762855529785
212,30,0.3,0.3,505,61,1,0.01683330535888672
213,30,0.3,0.3,586,0,0,0.03142666816711426
214,30,0.3,0.3,523,61,1,0.03333687782287598
215,30,0.3,0.3,544,61,1,0.016977548599243164
216,30,0.3,0.3,1,0,0,0.0
217,30,0.3,0.3,642,0,0,0.033255815505981445
218,30,0.3,0.3,508,83,1,0.01669001579284668
219,30,0.3,0.3,564,65,1,0.016728639602661133
220,30,0.3,0.3,1,0,0,0.0
221,30,0.3,0.3,549,63,1,0.04994368553161621
222,30,0.3,0.3,594,0,0,0.0586855411529541
223,30,0.3,0.3,458,61,1,0.02934741973876953
224,30,0.3,0.3,3,0,0,0.0010707378387451172
225,30,0.3,0.3,472,59,1,0.04328346252441406
226,30,0.3,0.3,1,0,0,0.0
227,30,0.3,0.3,335,63,1,0.015170812606811523
228,30,0.3,0.3,28,0,0,0.0009980201721191406
229,30,0.3,0.3,402,0,0,0.036814212799072266
230,30,0.3,0.3,22,0,0,0.0
231,30,0.3,0.3,285,59,1,0.023045063018798828
232,30,0.3,0.3,5,0,0,0.0
233,30,0.3,0.3,554,0,0,0.041701316833496094
234,30,0.3,0.3,443,59,1,0.02016758918762207
235,30,0.3,0.3,436,59,1,0.014698505401611328
236,30,0.3,0.3,563,0,0,0.025471925735473633
237,30,0.3,0.3,4,0,0,0.0
238,30,0.3,0.3,14,0,0,0.0
239,30,0.3,0.3,453,63,1,0.023058176040649414
240,30,0.3,0.3,411,59,1,0.015770435333251953
241,30,0.3,0.3,486,59,1,0.05146980285644531
242,30,0.3,0.3,1,0,0,0.0
243,30,0.3,0.3,436,61,1,0.021412134170532227
244,30,0.3,0.3,385,61,1,0.020958423614501953
245,30,0.3,0.3,1,0,0,0.0
246,30,0.3,0.3,507,61,1,0.026169300079345703
247,30,0.3,0.3,645,0,0,0.05370974540710449
248,30,0.3,0.3,29,0,0,0.0
249,30,0.3,0.3,576,59,1,0.06780385971069336
250,30,0.3,0.3,611,0,0,0.03276228904724121
251,30,0.3,0.3,585,0,0,0.03120589256286621
252,30,0.3,0.3,590,0,0,0.029662132263183594
253,30,0.3,0.3,502,59,1,0.030443906784057617
254,30,0.3,0.3,1,0,0,0.0
255,30,0.3,0.3,505,59,1,0.03038191795349121
256,30,0.3,0.3,510,59,1,0.017464160919189453
257,30,0.3,0.3,310,59,1,0.017824172973632812
258,30,0.3,0.3,3,0,0,0.0
259,30,0.3,0.3,12,0,0,0.0
260,30,0.3,0.3,476,59,1,0.01772928237915039
261,30,0.3,0.3,516,59,1,0.032993316650390625
262,30,0.3,0.3,640,0,0,0.030134201049804688
263,30,0.3,0.3,494,59,1,0.016800880432128906
264,30,0.3,0.3,334,59,1,0.016483545303344727
265,30,0.3,0.3,442,59,1,0.018297195434570312
266,30,0.3,0.3,290,59,1,0.01644110679626465
267,30,0.3,0.3,598,0,0,0.059592485427856445
268,30,0.3,0.3,624,0,0,0.031577348709106445
269,30,0.3,0.3,359,75,1,0.013492345809936523
270,30,0.3,0.3,11,0,0,0.001047372817993164
271,30,0.3,0.3,370,61,1,0.03859591484069824
272,30,0.3,0.3,445,59,1,0.030600786209106445
273,30,0.3,0.3,577,71,1,0.02932429313659668
274,30,0.3,0.3,434,59,1,0.014325857162475586
275,30,0.3,0.3,17,0,0,0.0
276,30,0.3,0.3,476,61,1,0.06631994247436523
277,30,0.3,0.3,522,59,1,0.018327951431274414
278,30,0.3,0.3,482,59,1,0.017803430557250977
279,30,0.3,0.3,614,0,0,0.02548670768737793
280,30,0.3,0.3,427,59,1,0.03603339195251465
281,30,0.3,0.3,446,59,1,0.018489599227905273
282,30,0.3,0.3,555,63,1,0.03274893760681152
283,30,0.3,0.3,467,59,1,0.017366886138916016
284,30,0.3,0.3,510,0,0,0.016595840454101562
285,30,0.3,0.3,457,59,1,0.033133506774902344
286,30,0.3,0.3,522,61,1,0.015723705291748047
287,30,0.3,0.3,430,59,1,0.0071794986724853516
288,30,0.3,0.3,384,59,1,0.016514062881469727
289,30,0.3,0.3,395,59,1,0.01689910888671875
290,30,0.3,0.3,591,0,0,0.03331875801086426
291,30,0.3,0.3,299,59,1,0.017914533615112305
292,30,0.3,0.3,1,0,0,0.0
293,30,0.3,0.3,449,59,1,0.016622066497802734
294,30,0.3,0.3,582,0,0,0.033360958099365234
295,30,0.3,0.3,490,63,1,0.016787052154541016
296,30,0.3,0.3,5,0,0,0.0
297,30,0.3,0.3,447,59,1,0.03346371650695801
298,30,0.3,0.3,493,59,1,0.049902915954589844
299,30,0.3,0.3,471,0,0,0.01666426658630371
300,30,0.3,0.4,362,65,1,0.03324604034423828
301,30,0.3,0.4,5,0,0,0.0
302,30,0.3,0.4,3,0,0,0.0
303,30,0.3,0.4,473,61,1,0.03420877456665039
304,30,0.3,0.4,472,59,1,0.04895305633544922
305,30,0.3,0.4,4,0,0,0.0
306,30,0.3,0.4,476,59,1,0.032919883728027344
307,30,0.3,0.4,464,63,1,0.033113718032836914
308,30,0.3,0.4,625,0,0,0.034131765365600586
309,30,0.3,0.4,1,0,0,0.0
310,30,0.3,0.4,490,63,1,0.031103134155273438
311,30,0.3,0.4,1,0,0,0.0
312,30,0.3,0.4,36,0,0,0.0
313,30,0.3,0.4,3,0,0,0.0
314,30,0.3,0.4,524,59,1,0.033086299896240234
315,30,0.3,0.4,607,0,0,0.03300642967224121
316,30,0.3,0.4,625,0,0,0.0334625244140625
317,30,0.3,0.4,7,0,0,0.0
318,30,0.3,0.4,407,59,1,0.0010404586791992188
319,30,0.3,0.4,33,0,0,0.014691352844238281
320,30,0.3,0.4,414,69,1,0.018992900848388672
321,30,0.3,0.4,486,59,1,0.03905177116394043
322,30,0.3,0.4,1,0,0,0.0
323,30,0.3,0.4,513,61,1,0.021308422088623047
324,30,0.3,0.4,512,59,1,0.05151987075805664
325,30,0.3,0.4,465,63,1,0.01666259765625
326,30,0.3,0.4,1,0,0,0.0
327,30,0.3,0.4,100,0,0,0.0
328,30,0.3,0.4,515,59,1,0.04909706115722656
329,30,0.3,0.4,585,0,0,0.03329634666442871
330,30,0.3,0.4,408,69,1,0.015628814697265625
331,30,0.3,0.4,1,0,0,0.0
332,30,0.3,0.4,1,0,0,0.0
333,30,0.3,0.4,518,61,1,0.03395795822143555
334,30,0.3,0.4,3,0,0,0.0
335,30,0.3,0.4,456,61,1,0.016828298568725586
336,30,0.3,0.4,625,0,0,0.03319072723388672
337,30,0.3,0.4,337,61,1,0.034918785095214844
338,30,0.3,0.4,390,59,1,0.016706466674804688
339,30,0.3,0.4,1,0,0,0.0
340,30,0.3,0.4,1,0,0,0.0
341,30,0.3,0.4,515,71,1,0.04439043998718262
342,30,0.3,0.4,4,0,0,0.000997304916381836
343,30,0.3,0.4,484,61,1,0.02907419204711914
344,30,0.3,0.4,623,0,0,0.035805702209472656
345,30,0.3,0.4,389,59,1,0.016862154006958008
346,30,0.3,0.4,443,61,1,0.024196863174438477
347,30,0.3,0.4,424,61,1,0.021514415740966797
348,30,0.3,0.4,484,59,1,0.028347253799438477
349,30,0.3,0.4,624,0,0,0.02440047264099121
350,30,0.3,0.4,623,0,0,0.030716419219970703
351,30,0.3,0.4,520,59,1,0.015704631805419922
352,30,0.3,0.4,1,0,0,0.0
353,30,0.3,0.4,609,0,0,0.04979395866394043
354,30,0.3,0.4,407,59,1,0.07726097106933594
355,30,0.3,0.4,20,0,0,0.0
356,30,0.3,0.4,48,0,0,0.0
357,30,0.3,0.4,542,61,1,0.03136563301086426
358,30,0.3,0.4,448,61,1,0.016684293746948242
359,30,0.3,0.4,359,59,1,0.019041061401367188
360,30,0.3,0.4,640,0,0,0.034651756286621094
361,30,0.3,0.4,1,0,0,0.0
362,30,0.3,0.4,571,0,0,0.03254890441894531
363,30,0.3,0.4,31,0,0,0.0
364,30,0.3,0.4,420,59,1,0.016577959060668945
365,30,0.3,0.4,11,0,0,0.0
366,30,0.3,0.4,384,61,1,0.0332181453704834
367,30,0.3,0.4,510,63,1,0.016437530517578125
368,30,0.3,0.4,5,0,0,0.0
369,30,0.3,0.4,508,61,1,0.016724109649658203
370,30,0.3,0.4,8,0,0,0.0
371,30,0.3,0.4,458,59,1,0.03424954414367676
372,30,0.3,0.4,619,0,0,0.0491330623626709
373,30,0.3,0.4,5,0,0,0.0
374,30,0.3,0.4,615,0,0,0.03295087814331055
375,30,0.3,0.4,430,59,1,0.016635894775390625
376,30,0.3,0.4,34,0,0,0.0
377,30,0.3,0.4,297,59,1,0.01571941375732422
378,30,0.3,0.4,616,0,0,0.03161811828613281
379,30,0.3,0.4,1,0,0,0.0
380,30,0.3,0.4,447,59,1,0.015140771865844727
381,30,0.3,0.4,408,59,1,0.015665531158447266
382,30,0.3,0.4,440,61,1,0.01675724983215332
383,30,0.3,0.4,4,0,0,0.0
384,30,0.3,0.4,605,0,0,0.033353567123413086
385,30,0.3,0.4,522,59,1,0.03630995750427246
386,30,0.3,0.4,626,0,0,0.0512385368347168
387,30,0.3,0.4,5,0,0,0.0
388,30,0.3,0.4,539,71,1,0.015506505966186523
389,30,0.3,0.4,505,59,1,0.016741514205932617
390,30,0.3,0.4,449,59,1,0.03365778923034668
391,30,0.3,0.4,8,0,0,0.0
392,30,0.3,0.4,609,0,0,0.0453639030456543
393,30,0.3,0.4,415,61,1,0.021497726440429688
394,30,0.3,0.4,454,59,1,0.02240920066833496
395,30,0.3,0.4,412,65,1,0.02194952964782715
396,30,0.3,0.4,26,0,0,0.0
397,30,0.3,0.4,599,0,0,0.015598058700561523
398,30,0.3,0.4,630,0,0,0.049187660217285156
399,30,0.3,0.4,41,0,0,0.0
400,30,0.3,0.5,565,0,0,0.02139592170715332
401,30,0.3,0.5,407,59,1,0.021062850952148438
402,30,0.3,0.5,377,63,1,0.01663994789123535
403,30,0.3,0.5,437,59,1,0.014714956283569336
404,30,0.3,0.5,613,0,0,0.03388619422912598
405,30,0.3,0.5,584,0,0,0.02936863899230957
406,30,0.3,0.5,1,0,0,0.0
407,30,0.3,0.5,546,0,0,0.02216506004333496
408,30,0.3,0.5,546,59,1,0.02308368682861328
409,30,0.3,0.5,466,63,1,0.022533655166625977
410,30,0.3,0.5,618,0,0,0.030595779418945312
411,30,0.3,0.5,459,59,1,0.03687167167663574
412,30,0.3,0.5,486,59,1,0.05767393112182617
413,30,0.3,0.5,506,59,1,0.029414653778076172
414,30,0.3,0.5,394,59,1,0.016457557678222656
415,30,0.3,0.5,541,69,1,0.027694225311279297
416,30,0.3,0.5,3,0,0,0.0
417,30,0.3,0.5,615,0,0,0.03030848503112793
418,30,0.3,0.5,621,0,0,0.030376911163330078
419,30,0.3,0.5,3,0,0,0.0
420,30,0.3,0.5,8,0,0,0.0
421,30,0.3,0.5,82,0,0,0.0
422,30,0.3,0.5,584,0,0,0.023509502410888672
423,30,0.3,0.5,3,0,0,0.0010306835174560547
424,30,0.3,0.5,496,59,1,0.02204275131225586
425,30,0.3,0.5,423,65,1,0.013583898544311523
426,30,0.3,0.5,441,59,1,0.014755010604858398
427,30,0.3,0.5,407,59,1,0.017681360244750977
428,30,0.3,0.5,5,0,0,0.0010411739349365234
429,30,0.3,0.5,514,61,1,0.02304816246032715
430,30,0.3,0.5,379,59,1,0.03811216354370117
431,30,0.3,0.5,479,59,1,0.02294015884399414
432,30,0.3,0.5,601,0,0,0.06576371192932129
433,30,0.3,0.5,592,59,1,0.030437469482421875
434,30,0.3,0.5,1,0,0,0.0010418891906738281
435,30,0.3,0.5,499,59,1,0.02277207374572754
436,30,0.3,0.5,398,59,1,0.014725208282470703
437,30,0.3,0.5,468,61,1,0.023204803466796875
438,30,0.3,0.5,8,0,0,0.0
439,30,0.3,0.5,639,0,0,0.04169583320617676
440,30,0.3,0.5,527,63,1,0.022838115692138672
441,30,0.3,0.5,319,59,1,0.0020525455474853516
442,30,0.3,0.5,6,0,0,0.0
443,30,0.3,0.5,1,0,0,0.0
444,30,0.3,0.5,426,61,1,0.016640186309814453
445,30,0.3,0.5,13,0,0,0.015394449234008789
446,30,0.3,0.5,36,0,0,0.0
